CustomerKey,FirstName,LastName,Gender,DateFirstPurchast,city
11000,Jon,Yang,Male,1/19/2021,Rockhampton
11001,Eugene,Huang,Male,1/15/2021,Seaford
11002,Ruben,Torres,Male,1/7/2021,Hobart
11003,Christy,Zhu,Female,12/29/2020,North Ryde
11004,Elizabeth,Johnson,Female,1/23/2021,Wollongong
11005,Julio,Ruiz,Male,12/30/2020,East Brisbane
11006,Janet,Alvarez,Female,1/24/2021,Matraville
11007,Marco,Mehta,Male,1/9/2021,Warrnambool
11008,Rob,Verhoff,Female,1/25/2021,Bendigo
11009,Shannon,Carlson,Male,1/27/2021,Hervey Bay
11010,Jacquelyn,Suarez,Female,1/14/2021,East Brisbane
11011,Curtis,Lu,Male,12/30/2020,East Brisbane
11012,Lauren,Walker,Female,3/16/2023,Bremerton
11013,Ian,Jenkins,Male,4/13/2023,Lebanon
11014,Sydney,Bennett,Female,3/23/2023,Redmond
11015,Chloe,Young,Female,1/18/2023,Burbank
11016,Wyatt,Hill,Male,2/9/2023,Imperial Beach
11017,Shannon,Wang,Female,1/12/2021,Sunbury
11018,Clarence,Rai,Male,1/17/2021,Bendigo
11019,Luke,Lal,Male,2/12/2023,Langley
11020,Jordan,King,Male,12/29/2022,Metchosin
11021,Destiny,Wilson,Female,1/23/2023,Beaverton
11022,Ethan,Zhang,Male,1/20/2023,Bellingham
11023,Seth,Edwards,Male,2/17/2023,Bellflower
11024,Russell,Xie,Male,6/27/2023,Concord
11025,Alejandro,Beck,Male,1/6/2021,Hawthorne
11026,Harold,Sai,Male,1/23/2021,Goulburn
11027,Jessie,Zhao,Male,1/16/2021,Warrnambool
11028,Jill,Jimenez,Female,1/26/2021,St. Leonards
11029,Jimmy,Moreno,Male,1/19/2021,Bendigo
11030,Bethany,Yuan,Female,2/5/2021,Cloverdale
11031,Theresa,Ramos,Female,2/1/2021,Matraville
11032,Denise,Stone,Female,2/18/2021,Melbourne
11033,Jaime,Nath,Male,2/15/2021,Milsons Point
11034,Ebony,Gonzalez,Female,2/1/2021,North Sydney
11035,Wendy,Dominguez,Female,2/6/2021,Cranbourne
11036,Jennifer,Russell,Female,1/22/2023,National City
11037,Chloe,Garcia,Female,1/20/2023,Cliffside
11038,Diana,Hernandez,Female,2/7/2021,Lavender Bay
11039,Marc,Martin,Male,2/7/2021,Wollongong
11040,Jesse,Murphy,Male,4/3/2023,Tacoma
11041,Amanda,Carter,Female,1/14/2023,Glendale
11042,Megan,Sanchez,Female,1/21/2023,Los Angeles
11043,Nathan,Simmons,Male,5/8/2023,Glendale
11044,Adam,Flores,Male,2/28/2021,Hervey Bay
11045,Leonard,Nara,Male,4/10/2023,Matraville
11046,Christine,Yuan,Female,2/6/2021,Lavender Bay
11047,Jaclyn,Lu,Female,2/3/2021,Geelong
11048,Jeremy,Powell,Male,2/10/2021,Sunbury
11049,Carol,Rai,Female,3/9/2023,Chula Vista
11050,Alan,Zheng,Male,2/20/2021,Hobart
11051,Daniel,Johnson,Male,12/29/2023,Caloundra
11052,Heidi,Lopez,Female,2/17/2021,Matraville
11053,Ana,Price,Female,1/17/2023,San Diego
11054,Deanna,Munoz,Female,2/3/2021,Geelong
11055,Gilbert,Raje,Male,1/31/2021,East Brisbane
11056,Michele,Nath,Female,2/26/2021,Newcastle
11057,Carl,Andersen,Male,2/22/2021,Lane Cove
11058,Marc,Diaz,Male,3/9/2021,Findon
11059,Ashlee,Andersen,Female,2/18/2023,Townsville
11060,Jon,Zhou,Male,3/19/2021,Warrnambool
11061,Todd,Gao,Male,3/13/2021,Gold Coast
11062,Noah,Powell,Male,1/7/2023,Portland
11063,Angela,Murphy,Female,1/12/2023,Redmond
11064,Chase,Reed,Male,1/25/2023,Downey
11065,Jessica,Henderson,Female,2/10/2023,La Jolla
11066,Grace,Butler,Female,5/31/2023,Lebanon
11067,Caleb,Carter,Male,8/18/2023,Port Orchard
11068,Tiffany,Liang,Female,4/30/2023,Warrnambool
11069,Carolyn,Navarro,Female,4/17/2021,Gold Coast
11070,Willie,Raji,Male,4/28/2021,Sunbury
11071,Linda,Serrano,Female,3/1/2023,Hawthorne
11072,Casey,Luo,Female,3/31/2021,St. Leonards
11073,Amy,Ye,Female,3/23/2023,Springwood
11074,Levi,Arun,Male,3/23/2023,Cloverdale
11075,Felicia,Jimenez,Female,4/28/2021,Bendigo
11076,Blake,Anderson,Male,4/21/2021,Wollongong
11077,Leah,Ye,Female,4/15/2021,Melton
11078,Gina,Martin,Female,2/15/2023,Cliffside
11079,Donald,Gonzalez,Male,3/15/2023,Geelong
11080,Damien,Chander,Male,4/10/2021,Perth
11081,Savannah,Baker,Female,2/12/2023,Concord
11082,Angela,Butler,Female,1/22/2023,Fremont
11083,Alyssa,Cox,Female,1/6/2023,Lincoln Acres
11084,Lucas,Phillips,Male,1/4/2023,Lebanon
11085,Emily,Johnson,Female,12/6/2023,Newport Beach
11086,Ryan,Brown,Male,7/2/2023,Santa Monica
11087,Tamara,Liang,Female,2/25/2023,Chula Vista
11088,Hunter,Davis,Male,1/13/2023,San Diego
11089,Abigail,Price,Female,12/29/2022,Long Beach
11090,Trevor,Bryant,Male,8/7/2021,Los Angeles
11091,Dalton,Perez,Male,1/29/2023,Haney
11092,Cheryl,Diaz,Female,4/8/2021,East Brisbane
11093,Aimee,He,Female,4/7/2021,Wollongong
11094,Cedric,Ma,Male,4/7/2023,Cranbourne
11095,Chad,Kumar,Male,4/1/2021,Port Macquarie
11096,AndrÇs,Anand,Male,4/11/2021,North Sydney
11097,Edwin,Nara,Male,4/4/2021,Warrnambool
11098,Mallory,Rubio,Female,2/11/2023,Rhodes
11099,Adam,Ross,Male,4/7/2021,Port Macquarie
11100,Latasha,Navarro,Female,4/16/2021,Cloverdale
11101,Abby,Sai,Female,4/29/2021,Cranbourne
11102,Julia,Nelson,Female,7/16/2023,Sydney
11103,Cassie,Chande,Female,4/15/2021,Darlinghurst
11104,Edgar,Sara,Male,5/4/2021,Gold Coast
11105,Candace,Fernandez,Female,5/14/2021,Matraville
11106,Jessie,Liu,Male,5/18/2021,Warrnambool
11107,Bianca,Lin,Female,5/1/2021,St. Leonards
11108,Kari,Alvarez,Female,5/3/2021,Port Macquarie
11109,Ruben,Kapoor,Male,5/10/2021,South Melbourne
11110,Curtis,Yang,Male,5/1/2021,Darlinghurst
11111,Meredith,Gutierrez,Female,5/20/2021,Geelong
11112,Crystal,Wang,Female,5/25/2021,Hervey Bay
11113,Micheal,Blanco,Male,2/1/2023,Perth
11114,Leslie,Moreno,Female,3/18/2023,Rhodes
11115,Alvin,Cai,Male,2/10/2023,St. Leonards
11116,Clinton,Carlson,Male,3/15/2023,Sydney
11117,April,Deng,Female,5/6/2021,Matraville
11118,Alvin,Zeng,Male,7/10/2023,Lavender Bay
11119,Evan,James,Male,2/3/2023,Port Macquarie
11120,Beth,JimÇnez,Female,5/14/2021,Sydney
11121,Orlando,Suarez,Male,6/24/2023,Newcastle
11122,Byron,Vazquez,Male,2/21/2023,North Sydney
11123,Philip,Alvarez,Male,4/17/2023,Sunbury
11124,Ross,Jordan,Male,5/5/2021,Warrnambool
11125,Dana,Navarro,Female,1/31/2023,Seaford
11126,Shaun,Carson,Male,5/28/2021,North Ryde
11127,Jan,Edwards,Female,4/10/2023,San Gabriel
11128,Samantha,Long,Female,6/19/2023,Renton
11129,Julia,Wright,Female,8/6/2021,Sedro Woolley
11130,Caroline,Russell,Female,12/9/2023,Lebanon
11131,Amanda,Rivera,Female,10/18/2023,Haney
11132,Melissa,Richardson,Female,4/9/2023,Langford
11133,Angela,Griffin,Female,12/30/2023,Lake Oswego
11134,Larry,Townsend,Male,5/3/2021,Perth
11135,Marcus,Harris,Male,4/18/2023,Burlingame
11136,Brianna,Morgan,Female,1/3/2023,Metchosin
11137,Jasmine,Taylor,Female,7/31/2023,Spokane
11138,Lauren,Davis,Female,9/19/2023,Glendale
11139,Tanya,Moreno,Female,9/14/2023,Cloverdale
11140,Javier,Alvarez,Male,3/19/2023,Burbank
11141,Nicole,Ramirez,Female,5/16/2023,Daly City
11142,Eduardo,Patterson,Male,2/13/2023,Langford
11143,Jonathan,Henderson,Male,6/15/2023,Lakewood
11144,Edward,Hernandez,Male,1/25/2023,Ballard
11145,Jasmine,Coleman,Female,1/25/2023,Beaverton
11146,Karla,Goel,Female,2/5/2023,Matraville
11147,Ernest,Wu,Male,5/13/2021,Warrnambool
11148,Ross,Vazquez,Male,3/7/2023,East Brisbane
11149,Theodore,Gill,Male,6/4/2023,Hervey Bay
11150,Russell,Shen,Male,3/27/2023,Sunbury
11151,Melinda,Gill,Female,5/15/2021,Sydney
11152,James,Williams,Male,1/9/2023,Puyallup
11153,Angela,James,Female,3/29/2023,Renton
11154,Megan,Walker,Female,1/10/2023,Woodburn
11155,Hunter,Robinson,Male,1/6/2023,Burbank
11156,Maria,Roberts,Female,1/8/2023,Lakewood
11157,Hannah,Long,Female,7/24/2023,Tacoma
11158,Jason,Wright,Male,1/19/2023,San Gabriel
11159,Brianna,Hughes,Female,9/8/2023,Woodland Hills
11160,Maurice,Tang,Male,2/21/2023,Concord
11161,Emily,Wood,Female,6/1/2023,Concord
11162,Chase,Cox,Male,2/18/2023,La Jolla
11163,Gabriel,Wang,Male,5/1/2023,Spring Valley
11164,Devin,Brooks,Male,4/27/2023,Torrance
11165,Jocelyn,Alexander,Female,5/25/2023,Oakland
11166,Ashley,Martinez,Female,10/14/2023,Olympia
11167,Jasmine,Barnes,Female,1/7/2023,Issaquah
11168,David,Rodriguez,Male,1/15/2023,Oakland
11169,Bryce,Richardson,Male,5/26/2023,Coronado
11170,Carol,Howard,Female,8/26/2023,Burien
11171,Jonathan,Hill,Male,8/20/2021,Woodland Hills
11172,Gabrielle,Adams,Female,5/3/2023,Lynnwood
11173,Sarah,Thomas,Female,3/2/2023,W. Linn
11174,Nicholas,Robinson,Male,7/13/2023,Los Angeles
11175,Luis,Wang,Male,8/28/2021,Beverly Hills
11176,Mason,Roberts,Male,2/2/2023,Haney
11177,Jose,Flores,Male,3/29/2023,San Diego
11178,Nathan,Johnson,Male,2/21/2023,Lakewood
11179,Molly,Rodriguez,Female,3/12/2023,Beverly Hills
11180,April,Anand,Female,3/17/2023,Chula Vista
11181,Devin,Martin,Male,5/7/2023,Los Angeles
11182,Stephanie,Torres,Female,8/28/2023,Sedro Woolley
11183,Jasmine,Lee,Female,4/30/2023,Santa Cruz
11184,Meghan,Hernandez,Female,8/10/2023,Concord
11185,Ashley,Henderson,Female,2/21/2023,Metchosin
11186,Sarah,Price,Female,10/18/2023,Palo Alto
11187,Jennifer,Cooper,Female,4/3/2023,Burien
11188,Catherine,Morris,Female,11/1/2023,San Gabriel
11189,Lawrence,Blanco,Male,8/26/2021,Bellingham
11190,Carson,Bryant,Male,8/28/2023,Beverly Hills
11191,Kristi,Perez,Female,8/11/2021,Colma
11192,James,Brown,Male,6/23/2023,Seattle
11193,Ian,Gray,Male,2/25/2023,Woodburn
11194,Jacqueline,Price,Female,3/13/2023,Palo Alto
11195,Megan,Henderson,Female,4/14/2023,Renton
11196,Alfredo,Romero,Male,3/3/2023,Beaverton
11197,Andrea,Morris,Female,5/2/2023,Seattle
11198,Brooke,Sanders,Female,2/5/2023,Santa Cruz
11199,Jacqueline,Bennett,Female,3/18/2023,Burlingame
11200,Jason,Griffin,Male,2/7/2023,Victoria
11201,Amanda,Foster,Female,7/1/2023,Santa Monica
11202,Alexia,Price,Female,9/15/2023,Lakewood
11203,Luis,Diaz,Male,2/20/2023,Port Hammond
11204,Destiny,Rivera,Female,8/9/2023,Beaverton
11205,Abby,Fernandez,Female,7/27/2023,Burien
11206,Blake,Flores,Male,5/11/2023,Lynnwood
11207,Danielle,Cox,Female,1/31/2023,Renton
11208,Maria,Reed,Female,3/4/2023,Glendale
11209,Allison,Evans,Female,3/25/2023,Lincoln Acres
11210,Edward,Wood,Male,5/6/2023,West Covina
11211,Samantha,Russell,Female,2/1/2023,Haney
11212,Chloe,Campbell,Female,1/30/2023,Metchosin
11213,Stephanie,Murphy,Female,3/28/2023,Edmonds
11214,Charles,Miller,Male,8/14/2023,Milwaukie
11215,Ana,Perry,Female,2/15/2023,Royal Oak
11216,Jasmine,Torres,Female,8/15/2021,Portland
11217,Natalie,Adams,Female,8/10/2021,Portland
11218,Olivia,Brown,Female,2/28/2023,Tacoma
11219,Charles,Cook,Male,10/29/2023,Woodburn
11220,Erica,Huang,Female,3/14/2023,Colma
11221,Nathan,Perry,Male,4/7/2023,Lakewood
11222,Alexandra,Rivera,Female,11/1/2023,Santa Monica
11223,Hailey,Patterson,Female,1/29/2023,Langley
11224,Tiffany,Li,Female,8/7/2021,Burien
11225,Madison,Lee,Female,6/22/2023,Renton
11226,Sydney,Ross,Female,2/21/2023,W. Linn
11227,Marshall,Chavez,Male,8/3/2021,Colma
11228,Ashley,Jones,Female,10/25/2023,El Cajon
11229,Adrian,Stewart,Male,7/27/2023,Redwood City
11230,Amber,Turner,Female,7/16/2023,Santa Monica
11231,Dennis,Zhang,Male,2/10/2023,Bremerton
11232,Hailey,Bryant,Female,9/20/2023,Everett
11233,Todd,Li,Male,2/8/2023,Berkeley
11234,Anna,Griffin,Female,2/8/2023,Long Beach
11235,Angel,Stewart,Male,7/4/2023,Ballard
11236,Jeremy,Butler,Male,10/3/2023,Bellingham
11237,Clarence,Anand,Male,9/5/2021,Solingen
11238,Mayra,Prasad,Female,1/6/2021,Birmingham
11239,Latoya,Goel,Female,1/19/2021,London
11240,Anne,Hernandez,Female,2/27/2021,Watford
11241,Lisa,Cai,Female,9/10/2022,Les Ulis
11242,Larry,Munoz,Male,9/19/2022,Versailles
11243,Robin,Alvarez,Female,2/21/2021,Esher-Molesey
11244,Alexis,Coleman,Female,2/12/2021,Runcorn
11245,Ricky,Vazquez,Male,9/26/2021,Hamburg
11246,Latasha,Rubio,Female,10/3/2021,Hamburg
11247,Claudia,Zhou,Female,2/18/2021,Lancaster
11248,Tristan,Alexander,Male,7/14/2023,Saint-Denis
11249,Cindy,Patel,Female,10/9/2021,Sulzbach Taunus
11250,Shannon,Liu,Female,3/17/2021,Woolston
11251,Xavier,Long,Male,10/18/2023,Haney
11252,Nicholas,Thompson,Male,8/14/2021,Lemon Grove
11253,JosÇ,Hernandez,Male,3/1/2023,Victoria
11254,Johnathan,Vance,Male,11/23/2023,Burien
11255,Colin,Lin,Male,2/23/2023,Burien
11256,Katelyn,Hernandez,Female,4/15/2023,Lynnwood
11257,Jacqueline,Powell,Female,8/24/2021,Newport Beach
11258,Xavier,Hill,Male,5/21/2023,Palo Alto
11259,Victoria,Stewart,Female,9/4/2021,Salem
11260,Katelyn,Kelly,Female,2/5/2023,Burlingame
11261,Stephanie,Collins,Female,9/27/2021,San Diego
11262,Jennifer,Simmons,Female,2/27/2023,Port Hammond
11263,Trinity,Richardson,Female,8/29/2021,Burien
11264,Eduardo,Martin,Male,1/2/2023,Issaquah
11265,Elizabeth,Jones,Female,1/3/2023,Kirkland
11266,Taylor,Howard,Female,9/10/2021,Port Orchard
11267,David,Diaz,Male,9/17/2021,Burlingame
11268,Katelyn,Carter,Female,5/29/2023,Coronado
11269,Ryan,Foster,Male,8/22/2023,Daly City
11270,Robert,Lee,Male,9/10/2021,Lakewood
11271,Danielle,Reed,Female,9/27/2021,San Francisco
11272,Lauren,Martinez,Female,9/19/2021,Beverly Hills
11273,Nathan,Lal,Male,5/14/2023,La Jolla
11274,Kyle,Foster,Male,8/29/2021,Bellingham
11275,Jenny,Rai,Female,8/30/2021,Colma
11276,Nancy,Chapman,Female,1/29/2023,Cliffside
11277,Charles,Jackson,Male,2/2/2023,Royal Oak
11278,Jonathan,Phillips,Male,9/16/2021,Edmonds
